Symptom,Disease
Fever Cough Fatigue Sore Throat Body Aches, Flu
Runny Nose Sore Throat Fatigue Cough, Flu
Headache Body Aches Cough Sore Throat, Flu
Chills Body Aches Sore Throat Fever, Flu
Fatigue Sore Throat Runny Nose Cough, Flu
Cough Headache Fatigue Sore Throat, Flu
Fever Chills Cough Sore Throat Body Aches, Flu
Body Aches Runny Nose Cough Fatigue, Flu
Fatigue Cough Headache Fever Sore Throat, Flu
Cough Sore Throat Runny Nose Fatigue, Flu
Sore Throat Cough Fatigue Body Aches Fever, Flu
Headache Runny Nose Fatigue Sore Throat, Flu
Chills Fever Body Aches Sore Throat, Flu
Fatigue Cough Body Aches Fever Runny Nose, Flu
Sore Throat Runny Nose Cough Headache, Flu
Cough Fever Body Aches Fatigue Sore Throat, Flu
Runny Nose Fatigue Cough Body Aches, Flu
Sore Throat Cough Fever Fatigue Body Aches, Flu
Headache Sore Throat Cough Fatigue, Flu
Chills Fatigue Sore Throat Cough Fever, Flu
Runny Nose Sneezing Sore Throat Cough, Common Cold
Sore Throat Runny Nose Fatigue Sneezing, Common Cold
Cough Runny Nose Sore Throat Congestion, Common Cold
Sneezing Fatigue Runny Nose Sore Throat, Common Cold
Cough Sore Throat Congestion Fatigue, Common Cold
Headache Runny Nose Sneezing Sore Throat, Common Cold
Sore Throat Fatigue Runny Nose Cough, Common Cold
Sneezing Cough Fatigue Sore Throat, Common Cold
Runny Nose Cough Sneezing Headache, Common Cold
Cough Runny Nose Congestion Fatigue, Common Cold
Sore Throat Runny Nose Fatigue Sneezing, Common Cold
Headache Cough Sneezing Runny Nose, Common Cold
Congestion Sore Throat Sneezing Cough, Common Cold
Runny Nose Sneezing Fatigue Sore Throat, Common Cold
Cough Sore Throat Headache Congestion, Common Cold
Fatigue Sneezing Runny Nose Cough, Common Cold
Headache Runny Nose Sore Throat Congestion, Common Cold
Cough Fatigue Sore Throat Sneezing, Common Cold
Sore Throat Cough Runny Nose Fatigue, Common Cold
Runny Nose Sore Throat Congestion Fatigue, Common Cold
Shortness of Breath Chest Pain Cough Fever, Pneumonia
Chest Pain Shortness of Breath Cough Fatigue, Pneumonia
Cough Fever Shortness of Breath Chest Pain, Pneumonia
Chest Pain Shortness of Breath Fatigue Cough, Pneumonia
Fever Cough Chest Pain Shortness of Breath, Pneumonia
Shortness of Breath Fever Chest Pain Fatigue, Pneumonia
Cough Shortness of Breath Chest Pain Fatigue, Pneumonia
Fatigue Chest Pain Shortness of Breath Fever, Pneumonia
Chest Pain Cough Shortness of Breath Fever, Pneumonia
Cough Fatigue Shortness of Breath Fever, Pneumonia
